coachID,year,tmID,current_season_matches,current_season_win_rate,matches,win_rate,post_matches,post_win_rate,nrAwards
adamsmi01w,5,WAS,34,0.5,34,0.5,3,0.3333333333333333,0.0
adubari99w,1,NYL,32,0.625,32,0.625,7,0.5714285714285714,0.0
adubari99w,2,NYL,32,0.65625,64,0.640625,13,0.5384615384615384,0.0
adubari99w,3,NYL,32,0.5625,96,0.6145833333333334,21,0.5238095238095238,0.0
adubari99w,4,NYL,34,0.47058823529411764,130,0.5769230769230769,21,0.5238095238095238,0.0
adubari99w,5,NYL,16,0.4375,146,0.5616438356164384,21,0.5238095238095238,0.0
adubari99w,6,WAS,34,0.47058823529411764,180,0.5444444444444444,21,0.5238095238095238,0.0
adubari99w,7,WAS,34,0.5294117647058824,214,0.5420560747663551,23,0.4782608695652174,0.0
adubari99w,8,WAS,4,0.0,218,0.5321100917431193,23,0.4782608695652174,0.0
aglerbr99w,1,MIN,32,0.46875,32,0.46875,0,0.0,0.0
aglerbr99w,2,MIN,32,0.375,64,0.421875,0,0.0,0.0
aglerbr99w,3,MIN,19,0.3157894736842105,83,0.39759036144578314,0,0.0,0.0
aglerbr99w,9,SEA,34,0.6470588235294118,117,0.4700854700854701,3,0.3333333333333333,0.0
aglerbr99w,10,SEA,34,0.5882352941176471,151,0.4966887417218543,6,0.3333333333333333,0.0
allenso99w,1,SAC,32,0.65625,32,0.65625,2,0.0,0.0
allenso99w,2,SAC,12,0.5,44,0.6136363636363636,2,0.0,0.0
bibbyhe01w,6,LAS,28,0.4642857142857143,28,0.4642857142857143,0,0.0,0.0
boguemu01w,6,CHA,10,0.3,10,0.3,0,0.0,0.0
boguemu01w,7,CHA,34,0.3235294117647059,44,0.3181818181818182,0,0.0,0.0
bouceje01w,8,SAC,34,0.5588235294117647,34,0.5588235294117647,3,0.3333333333333333,0.0
bouceje01w,9,SAC,34,0.5294117647058824,68,0.5441176470588235,6,0.3333333333333333,0.0
bouceje01w,10,SAC,13,0.23076923076923078,81,0.49382716049382713,6,0.3333333333333333,0.0
brownde01w,3,ORL,32,0.5,32,0.5,0,0.0,0.0
brownde01w,5,SAS,26,0.23076923076923078,58,0.3793103448275862,0,0.0,0.0
bryanjo01w,6,LAS,6,0.6666666666666666,6,0.6666666666666666,2,0.0,0.0
bryanjo01w,7,LAS,34,0.7352941176470589,40,0.725,7,0.2857142857142857,0.0
chancva99w,1,HOU,32,0.84375,32,0.84375,6,1.0,0.0
chancva99w,2,HOU,32,0.59375,64,0.71875,8,0.75,0.0
chancva99w,3,HOU,32,0.75,96,0.7291666666666666,11,0.6363636363636364,0.0
chancva99w,4,HOU,34,0.5882352941176471,130,0.6923076923076923,14,0.5714285714285714,0.0
chancva99w,5,HOU,34,0.38235294117647056,164,0.6280487804878049,14,0.5714285714285714,0.0
chancva99w,6,HOU,34,0.5588235294117647,198,0.6161616161616161,19,0.5263157894736842,0.0
chancva99w,7,HOU,34,0.5294117647058824,232,0.603448275862069,21,0.47619047619047616,0.0
coopecy01w,2,PHO,32,0.40625,32,0.40625,0,0.0,0.0
coopecy01w,3,PHO,10,0.6,42,0.4523809523809524,0,0.0,0.0
coopemi01w,1,LAS,32,0.875,32,0.875,4,0.5,1.0
coopemi01w,2,LAS,32,0.875,64,0.875,11,0.7272727272727273,0.0
coopemi01w,3,LAS,32,0.78125,96,0.84375,17,0.8235294117647058,0.0
coopemi01w,4,LAS,34,0.7058823529411765,130,0.8076923076923077,26,0.7307692307692307,0.0
coopemi01w,5,LAS,20,0.7,150,0.7933333333333333,26,0.7307692307692307,0.0
coopemi01w,8,LAS,34,0.29411764705882354,184,0.7010869565217391,26,0.7307692307692307,0.0
coopemi01w,9,LAS,34,0.5882352941176471,218,0.6834862385321101,32,0.6875,0.0
coopemi01w,10,LAS,34,0.5294117647058824,252,0.6626984126984127,38,0.6578947368421053,0.0
cowenda01w,7,CHI,34,0.14705882352941177,34,0.14705882352941177,0,0.0,0.0
coylepa99w,5,NYL,18,0.6111111111111112,18,0.6111111111111112,5,0.4,0.0
coylepa99w,6,NYL,34,0.5294117647058824,52,0.5576923076923077,7,0.2857142857142857,0.0
coylepa99w,7,NYL,34,0.3235294117647059,86,0.46511627906976744,7,0.2857142857142857,0.0
coylepa99w,8,NYL,34,0.47058823529411764,120,0.4666666666666667,10,0.3,0.0
coylepa99w,9,NYL,34,0.5588235294117647,154,0.487012987012987,16,0.375,0.0
coylepa99w,10,NYL,17,0.35294117647058826,171,0.47368421052631576,16,0.375,0.0
dailesh99w,4,SAS,12,0.5,12,0.5,0,0.0,0.0
dailesh99w,5,SAS,8,0.375,20,0.45,0,0.0,0.0
darscna99w,1,WAS,20,0.45,20,0.45,0,0.0,0.0
donovan99w,1,IND,32,0.28125,32,0.28125,0,0.0,0.0
donovan99w,2,CHA,32,0.5625,64,0.421875,8,0.5,0.0
donovan99w,3,CHA,32,0.5625,96,0.46875,10,0.4,0.0
donovan99w,4,SEA,34,0.5294117647058824,130,0.4846153846153846,10,0.4,0.0
donovan99w,5,SEA,34,0.5882352941176471,164,0.5060975609756098,18,0.5555555555555556,0.0
donovan99w,6,SEA,34,0.5882352941176471,198,0.5202020202020202,21,0.5238095238095238,0.0
donovan99w,7,SEA,34,0.5294117647058824,232,0.521551724137931,24,0.5,0.0
donovan99w,8,SEA,34,0.5,266,0.518796992481203,26,0.46153846153846156,0.0
donovan99w,10,NYL,17,0.4117647058823529,283,0.5123674911660777,26,0.46153846153846156,0.0
dunnli99wc,1,SEA,32,0.1875,32,0.1875,0,0.0,0.0
dunnli99wc,2,SEA,32,0.3125,64,0.25,0,0.0,0.0
dunnli99wc,3,SEA,32,0.53125,96,0.34375,2,0.0,0.0
dunnli99wc,9,IND,34,0.5,130,0.38461538461538464,5,0.2,0.0
dunnli99wc,10,IND,34,0.6470588235294118,164,0.43902439024390244,15,0.4666666666666667,0.0
dunntr01wc,1,CHA,32,0.25,32,0.25,0,0.0,0.0
fortnne99w,2,IND,32,0.3125,32,0.3125,0,0.0,0.0
fortnne99w,3,IND,32,0.5,64,0.40625,3,0.3333333333333333,0.0
fortnne99w,4,IND,34,0.47058823529411764,98,0.42857142857142855,3,0.3333333333333333,0.0
gaineco01w,9,PHO,34,0.47058823529411764,34,0.47058823529411764,0,0.0,0.0
gaineco01w,10,PHO,34,0.6764705882352942,68,0.5735294117647058,11,0.6363636363636364,0.0
gilloje01w,10,MIN,34,0.4117647058823529,34,0.4117647058823529,0,0.0,0.0
grafca99wc,5,PHO,34,0.5,34,0.5,0,0.0,0.0
grafca99wc,6,PHO,34,0.47058823529411764,68,0.4852941176470588,0,0.0,0.0
hargrli99w,1,POR,32,0.3125,32,0.3125,0,0.0,0.0
hargrli99w,2,POR,32,0.34375,64,0.328125,0,0.0,0.0
hargrli99w,3,POR,32,0.5,96,0.3854166666666667,0,0.0,0.0
harveca99w,2,UTA,19,0.7368421052631579,19,0.7368421052631579,2,0.0,0.0
harveca99w,3,UTA,32,0.625,51,0.6666666666666666,7,0.2857142857142857,0.0
harveca99w,4,SAS,22,0.2727272727272727,73,0.547945205479452,7,0.2857142857142857,0.0
hugheda99w,1,CLE,32,0.53125,32,0.53125,6,0.5,0.0
hugheda99w,2,CLE,32,0.6875,64,0.609375,9,0.4444444444444444,1.0
hugheda99w,3,CLE,32,0.3125,96,0.5104166666666666,9,0.4444444444444444,0.0
hugheda99w,4,CLE,34,0.5,130,0.5076923076923077,12,0.4166666666666667,0.0
